section id,recording id,timestamp [ns],gaze x [px],gaze y [px],worn,fixation id,blink id,azimuth [deg],elevation [deg]
71cb6c6a-927f-462e-ba70-a0ceaa885e3b,8097783b-e684-476c-8b4d-3b1cf647ff75,1703060769434297967,803.163,432.104,1.0,49,,-1.5960333146758903,10.669114309064312
71cb6c6a-927f-462e-ba70-a0ceaa885e3b,8097783b-e684-476c-8b4d-3b1cf647ff75,1703060769440648967,805.489,431.195,1.0,49,,-1.4442178071884637,10.728136555627067
71cb6c6a-927f-462e-ba70-a0ceaa885e3b,8097783b-e684-476c-8b4d-3b1cf647ff75,1703060769443045967,792.159,436.989,1.0,49,,-2.3136677301168787,10.352021454486437
71cb6c6a-927f-462e-ba70-a0ceaa885e3b,8097783b-e684-476c-8b4d-3b1cf647ff75,1703060769449464967,812.483,449.305,1.0,49,,-0.9852476314046943,9.56001199253642
71cb6c6a-927f-462e-ba70-a0ceaa885e3b,8097783b-e684-476c-8b4d-3b1cf647ff75,1703060769455496967,798.797,450.725,1.0,49,,-1.8773193606585983,9.466729796348465
71cb6c6a-927f-462e-ba70-a0ceaa885e3b,8097783b-e684-476c-8b4d-3b1cf647ff75,1703060769458828967,811.356,451.906,1.0,49,,-1.0584367080974701,9.391993407136093
71cb6c6a-927f-462e-ba70-a0ceaa885e3b,8097783b-e684-476c-8b4d-3b1cf647ff75,1703060769465127967,803.872,440.792,1.0,49,,-1.548138327274417,10.1085933979156
71cb6c6a-927f-462e-ba70-a0ceaa885e3b,8097783b-e684-476c-8b4d-3b1cf647ff75,1703060769468102967,826.231,435.09,1.0,49,,-0.08863526080318529,10.478460311129583
71cb6c6a-927f-462e-ba70-a0ceaa885e3b,8097783b-e684-476c-8b4d-3b1cf647ff75,1703060769474551967,837.431,433.056,1.0,49,,0.6433551686025597,10.609734918459951
71cb6c6a-927f-462e-ba70-a0ceaa885e3b,8097783b-e684-476c-8b4d-3b1cf647ff75,1703060769480558967,835.329,435.942,1.0,49,,0.505689592798024,10.423490593465992
71cb6c6a-927f-462e-ba70-a0ceaa885e3b,8097783b-e684-476c-8b4d-3b1cf647ff75,1703060769484027967,817.361,437.583,1.0,49,,-0.6679009878337469,10.3170843460499
71cb6c6a-927f-462e-ba70-a0ceaa885e3b,8097783b-e684-476c-8b4d-3b1cf647ff75,1703060769490044967,816.73,428.64,1.0,49,,-0.7097820274056155,10.894206373545613
71cb6c6a-927f-462e-ba70-a0ceaa885e3b,8097783b-e684-476c-8b4d-3b1cf647ff75,1703060769492942967,824.281,439.944,1.0,49,,-0.21598396592755445,10.165054611633744
71cb6c6a-927f-462e-ba70-a0ceaa885e3b,8097783b-e684-476c-8b4d-3b1cf647ff75,1703060769499261967,844.292,432.725,1.0,49,,1.0917717651977947,10.630740566510273
71cb6c6a-927f-462e-ba70-a0ceaa885e3b,8097783b-e684-476c-8b4d-3b1cf647ff75,1703060769506856967,825.062,443.32,1.0,49,,-0.1649810959037397,9.94713983618943
71cb6c6a-927f-462e-ba70-a0ceaa885e3b,8097783b-e684-476c-8b4d-3b1cf647ff75,1703060769508802967,830.15,429.52,1.0,49,,0.1676906571353217,10.83798579003964
71cb6c6a-927f-462e-ba70-a0ceaa885e3b,8097783b-e684-476c-8b4d-3b1cf647ff75,1703060769514898967,831.572,437.676,1.0,49,,0.2602100355683974,10.311593854800401
71cb6c6a-927f-462e-ba70-a0ceaa885e3b,8097783b-e684-476c-8b4d-3b1cf647ff75,1703060769518275967,847.887,453.17,1.0,49,,1.3229053783714486,9.310704694945999
71cb6c6a-927f-462e-ba70-a0ceaa885e3b,8097783b-e684-476c-8b4d-3b1cf647ff75,1703060769524506967,827.524,452.033,1.0,49,,-0.00444124086935037,9.384685321226103
71cb6c6a-927f-462e-ba70-a0ceaa885e3b,8097783b-e684-476c-8b4d-3b1cf647ff75,1703060769530521967,801.48,438.097,1.0,49,,-1.7048070149982832,10.282148211745037
71cb6c6a-927f-462e-ba70-a0ceaa885e3b,8097783b-e684-476c-8b4d-3b1cf647ff75,1703060769533601967,811.447,442.01,1.0,49,,-1.0535840134080705,10.030820005041623
71cb6c6a-927f-462e-ba70-a0ceaa885e3b,8097783b-e684-476c-8b4d-3b1cf647ff75,1703060769540021967,799.775,441.555,1.0,49,,-1.8154033701067642,10.058720449793853
